web_scraper_order,web_scraper_start_url,container_links,name,price,location,image
"1765225189-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4158780","Pigeons","Prix sur demande","Thies, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/4058b985-f27.png"
"1765225191-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeon-4159080","Couple pigeon","10 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225193-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-frises-milanais-4165971","Pigeons frisés milanais","200 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225199-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-manteau-4167562","Pigeons voyageurs  manteau","15 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225201-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4167567","Pigeons voyageurs","15 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225204-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4167601","Pigeons","150 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225206-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-hollandais-4170233","Poule hollandais","8 000 CFA","Touba, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/e6501695-d7a.png"
"1765225209-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-4172814","Poulet de chair","3 500 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225211-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-lahore-4177942","Pigeons Lahore","15 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225213-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178980","Pigeon Boulant de poméranie","13 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225216-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178981","Pigeon Boulant de poméranie","20 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225219-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-4186084","Poussins","35 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225221-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-padda-de-java-4191356","Pigeon Padda de java","20 000 CFA","Point E, Dakar, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/7c9efd36-47d.png"
"1765225224-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4193114","Pigeon Texan","70 000 CFA","Mbour, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
