id,title,price,location,image_url,product_url
1,Berger malinois charbonner,250.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5649558_uploaded_image1_1764572984.jpg,https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbonner-5649558
2,Chiot Bichon Maltais,100000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644579_uploaded_image1_1764272051.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5644579
3,Chiots Labradors Retriever,300000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640905_uploaded_image1_1764096718.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-labradors-retriever-5640905
4,Chiot Malinois,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5628892
5,Chiot Berger Malinois,150000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5628715_uploaded_image1_1763500388.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-5628715
6,Chiot Husky,350000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5621149_uploaded_image1_1763076045.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5621149
8,Chiot Malinois,125000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616738_uploaded_image1_1762882607.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5616738
9,Chiots Border Collie,140000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616729_uploaded_image1_1762882207.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-border-collie-5616729
11,Chiot,70000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-5613212
12,Chiot Pitbull Tricolor,120000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5610458_uploaded_image1_1762521942.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-tricolor-5610458
13,Chiot Labrador,400000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603738_uploaded_image1_1762199868.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5603738
14,Chiot Bichon maltais,125000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5601862
16,Chiot American,170.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5579814_uploaded_image1_1760778039.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-american-5579814
17,Chiot Berger Allemand,250000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5575546
18,Bichon Maltais frisé,150000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572179_uploaded_image1_1760379385.jpg,https://sn.coinafrique.com/annonce/chiens/bichon-maltais-frise-5572179
19,Chiot Presa Canario,650000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5565180_uploaded_image1_1759957391.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-presa-canario-5565180
20,Chiot Berger Allemand,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5563010
21,Chiot Husky Sibérien vacciné,400000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5560240_uploaded_image1_1759709034.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-siberien-vaccine-5560240
22,Chiots Berger Allemand,130000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5560003_uploaded_image1_1759693627.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5560003
23,Chiot Labrador,450000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5550994_uploaded_image1_1759258475.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5550994
25,Croquettes pour chiens,28000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5537867_uploaded_image1_1758544788.jpg,https://sn.coinafrique.com/annonce/chiens/croquettes-pour-chiens-5537867
26,Chiot Bichon nain,200000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530652_uploaded_image1_1758128841.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-nain-5530652
27,Husky pur sang femelle,250000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528570_uploaded_image1_1758035685.jpg,https://sn.coinafrique.com/annonce/chiens/husky-pur-sang-femelle-5528570
29,Chiot pitbull,100000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528337_uploaded_image1_1758029337.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-5528337
30,Chiot Boerboel,375000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524708_uploaded_image1_1757840142.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-5524708
31,Chiot  Husky,350000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524610_uploaded_image1_1757831632.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5524610
32,Chiot Rottweiler,250000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5524392
33,Chiot Bichon,200000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521237_uploaded_image1_1757636811.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-5521237
34,Chiot,100000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5516813_uploaded_image1_1757429045.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-5516813
35,Chiot Pitbull,150.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5512296_uploaded_image1_1757182867.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-5512296
36,Chiot Berger allemand,350000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507784_uploaded_image1_1756958536.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5507784
37,Chiot Malinois,250.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5506845_uploaded_image1_1756907976.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5506845
38,Chiots Bichons Havanais,130000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-bichons-havanais-5498808
39,Chiots Berger Allemand,200000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5492262_uploaded_image1_1756135491.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5492262
41,Chiot Berger allemand grand gabarit,350000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5490358_uploaded_image1_1755989245.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-grand-gabarit-5490358
42,Chiots Labradors,300000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489586_uploaded_image1_1755947226.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-labradors-5489586
43,Chiots Labradors,300000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489540_uploaded_image1_1755946028.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-labradors-5489540
44,Chien  bichons,450000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489184_uploaded_image1_1755926050.jpg,https://sn.coinafrique.com/annonce/chiens/chien-bichons-5489184
45,Chiots Berger Allemand,350000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5487110_uploaded_image1_1755815195.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5487110
46,Chiot Rottweiler,400000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5486097_uploaded_image1_1755778960.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5486097
47,Bichon noir,130000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5482763_uploaded_image1_1755623884.jpg,https://sn.coinafrique.com/annonce/chiens/bichon-noir-5482763
48,Chiot Rottweiler,300000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5480457_uploaded_image1_1755508783.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5480457
49,Chiot Bichon,200000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5474603_uploaded_image2_1755135509.jpeg,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-5474603
50,bichons mâle,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5431028_uploaded_image1_1752941357.jpg,https://sn.coinafrique.com/annonce/chiens/bichons-male-5431028
51,Chiot Malinois,150000.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5468013_uploaded_image1_1754773485.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5468013
52,Chiot Berger allemand,250000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5467125_uploaded_image1_1754733559.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5467125
53,Chiots Berger Allemand,150000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5466408
54,Chat siamois,100000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465444_uploaded_image1_1754649176.jpg,https://sn.coinafrique.com/annonce/chiens/chat-siamois-5465444
55,Chiot Hamster syrien,5000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465432_uploaded_image1_1754648750.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-hamster-syrien-5465432
57,Chiots Berger,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463591_uploaded_image1_1754561119.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-5463591
58,Chiots Berger allemend,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463584_uploaded_image1_1754560979.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemend-5463584
59,Chiots Berger allemend,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463567_uploaded_image1_1754560541.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemend-5463567
60,Chiot Malinois,300000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5462776_uploaded_image1_1754507012.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5462776
61,Chiot Husky,350000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5456601_uploaded_image1_1754217248.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5456601
62,Chiots malinois de parents importés de bordeaux france,250000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5455656_uploaded_image1_1754152274.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-malinois-de-parents-importes-de-bordeaux-france-5455656
63,Chiot Rottweiler,290000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5453153_uploaded_image1_1754039656.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5453153
64,Chiot Berger Allemand,120000.0,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5443216_uploaded_image1_1753548558.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5443216
