id,name,price,address,image_url,product_url
1,Fauteuil pliable,50000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5641122_uploaded_image2_1764104086.jpeg,https://sn.coinafrique.com/annonce/moutons/fauteuil-pliable-5641122
3,Mouton,125000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5630109
4,Mouton Ladoum,800000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630102_uploaded_image1_1763563551.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5630102
5,Moutons Ladoum,350000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5613540_uploaded_image1_1762738491.jpg,https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-5613540
6,Mouton Ladoum,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5594186_uploaded_image1_1761667729.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5594186
7,Mouton ladoum,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5590609_uploaded_image1_1761399893.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5590609
8,Mouton Ladoum,1000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5571703_uploaded_image1_1760360461.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5571703
9,Mâles ladoum,300000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5570235_uploaded_image1_1760269024.jpg,https://sn.coinafrique.com/annonce/moutons/males-ladoum-5570235
10,Mouton,200000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5561288
11,Mouton Ladoum,250000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5546272_uploaded_image1_1758985252.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5546272
12,Mouton,200000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5543556_uploaded_image1_1758817920.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5543556
13,Mouton,550,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5521645_uploaded_image1_1757668518.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5521645
14,Mouton,700000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5514422_uploaded_image1_1757326730.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5514422
15,Mouton Ladoum,800000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5513111_uploaded_image1_1757248013.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5513111
16,Mouton Ladoum,800000,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5454220_uploaded_image1_1754077895.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5454220
17,Mouton  ladoum,550,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5430741_uploaded_image1_1752926224.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5430741
18,Mouton  ladoum,100000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5416626_uploaded_image1_1752150844.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5416626
19,Mouton,550000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5401936_uploaded_image1_1751443255.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5401936
20,Ladoum Azowate,125000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390051_uploaded_image1_1750779449.jpg,https://sn.coinafrique.com/annonce/moutons/ladoum-azowate-5390051
21,Mouton Ladoum,450000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5362962_uploaded_image1_1749209010.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5362962
22,Mouton,130000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5362037
23,Mouton Ladoum,500,"Thies, Sénégal",https://images.coinafrique.com/thumb_5355058_uploaded_image1_1748800702.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5355058
24,Mouton de tabaski,200000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5351264_uploaded_image1_1748542637.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-5351264
25,Mouton,225000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349513_uploaded_image1_1748440101.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5349513
26,Moutons,195000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349203_uploaded_image1_1748427888.jpg,https://sn.coinafrique.com/annonce/moutons/moutons-5349203
27,Mouton,180000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5347115_uploaded_image1_1748302103.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5347115
28,Mouton,250000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344905_uploaded_image1_1748196909.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-5344905
29,Mouton ladoum,600000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344681_uploaded_image1_1748183751.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-5344681
30,Mouton de tabaski,100000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5344147_uploaded_image1_1748126098.jpg,https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-5344147
