title,price,location,image,url
Berger malinois charbonner,250,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbonner-5649558
Chiot Bichon Maltais,100000,"Almadies, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5644579
Chiots Labradors Retriever,300000,"Guediawaye, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-labradors-retriever-5640905
Chiot Malinois,200000,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5628892
Chiot Berger Malinois,150000,"Almadies 2, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-5628715
Chiot Husky,350000,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-husky-5621149
Parfum Presa Canario,Prixsurdemande,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/parfum-presa-canario-5617572
Chiot Malinois,125000,"Mbao, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5616738
Chiots Border Collie,140000,"Almadies, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-border-collie-5616729
Berger Belge Malinois,Prixsurdemande,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/berger-belge-malinois-5616008
Chiot,70000,"Dieuppeul-Derklé, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-5613212
Chiot Pitbull Tricolor,120000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-tricolor-5610458
Chiot Labrador,400000,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5603738
Chiot Bichon maltais,125000,"Mariste, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5601862
Chiot Pitbull,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-5599056
Chiot American,170,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-american-5579814
Chiot Berger Allemand,250000,"Sacré-Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5575546
Bichon Maltais frisé,150000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/bichon-maltais-frise-5572179
Chiot Presa Canario,650000,"Thies, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-presa-canario-5565180
Chiot Berger Allemand,300000,"Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5563010
Chiot Husky Sibérien vacciné,400000,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-husky-siberien-vaccine-5560240
Chiots Berger Allemand,130000,"Diamniadio, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5560003
Chiot Labrador,450000,"Sicap Liberté, Dakar, Sénégal",https://static.coinafrique.com/static/images/profil.png,https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5550994
