web_scraper_order,web_scraper_start_url,container_links,name,price,location,image
"1765226184-1","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4045097","Mouton ladoum","Prix sur demande","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226187-2","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-4045236","Mouton","90 000 CFA","Guediawaye, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226189-3","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055594","Mouton Ladoum","300 000 CFA","Diourbel, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226192-4","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055616","Mouton ladoum","300 000 CFA","Diourbel, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226194-5","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-agnelle-4060011","Mouton  agnelle","350 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226196-6","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4061067","Mouton femelle Ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226199-7","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4061084","Mouton ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226201-8","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/moutons-4067794","Moutons","130 000 CFA","Pikine, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226203-9","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/moutons-4069918","Moutons","120 000 CFA","Pikine, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226206-10","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/moutons-4095794","Moutons","Prix sur demande","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226208-11","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/moutons-4100015","Moutons","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226211-12","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/agnelle-ladoum-4124306","Agnelle Ladoum","125 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226213-13","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4127293","Mouton femelle Ladoum","400 000 CFA","HLM, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226215-14","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/brebis-4141471","Brebis","110 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226218-15","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4143070","Mouton ladoum","500 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226220-16","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-azawatt-4150287","Mouton Ladoum Azawatt","400 000 CFA","Grand Dakar, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226222-17","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4150306","Mouton ladoum","500 000 CFA","Grand Dakar, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226225-18","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4152006","Mouton ladoum","600 000 CFA","Louga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226228-19","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/brebis-4155201","Brebis","95 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226230-20","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-4160771","Mouton Azawat","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226232-21","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/mouton-4169738","Mouton","Prix sur demande","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765226235-22","https://sn.coinafrique.com/categorie/moutons?page=3","https://sn.coinafrique.com/annonce/moutons/brebis-4175237","Brebis","75 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
